mac_address,symbol,windows_address
1010f77e,CheckExists__12CNetworkFileFPCc,47f680
1010f7e4,Write__12CNetworkFileFPCUci,47f6c0
1010f94c,Read__12CNetworkFileFPUci,47f780
1010fad0,Seek__12CNetworkFileFi,47f890
1010fafe,Tell__12CNetworkFileFv,47f8b0
1010fb28,Close__12CNetworkFileFv,47f8c0
1010fb8a,GetFileSize__12CNetworkFileFv,47f8f0
1010fbde,Lock__12CNetworkFileFUlUl,47f900
1010fc3c,UnLock__12CNetworkFileFUlUl,47f920
1010fc9c,__ct__6CRemapFUlPUc13ePaletteTypes,473610
1010fce4,__ct__15CPaletteManagerFi,473630
1010fd1a,_DBG_Init__Fv,472be0
1010fd34,_DBG_Quit__FUc,472c70
1010fd50,_MEM_Init__Fv,46f060
1010ff2e,_MEM_Quit__Fv,46f120
1010ff88,WriteDebugString2File__FPc,4728b0
1011006c,_RAWOUT_DebugString__FPc,472910
101100a4,_RAWOUT_ErrorString__FPc,472980
101100dc,_RAWOUT_SysString__FPc,4729f0
10110112,_TIME_Init__Fv,462e60
1011012e,_TIME_Quit__Fv,462e70
1011014a,CurrentMilliTimer__Fv,462e80
101101a6,CurrentQueueTimer__Fv,462e90
101101cc,GetWindow__4CWndFP8GrafPort,
1011023e,ProcessMouseMoves__4CWndFv,465050
10110340,ProcessMessage__4CWndFR11EventRecord,464520
10110696,HideMenu__4CWndFv,
10110762,ShowMenu__4CWndFv,
101107c2,ProcessWindowMessages__4CWndFR11EventRecords,
10110854,ProcessOtherMessages__4CWndFR11EventRecords,465640
101108ae,c2pstr__4CWndFPc,
10110900,CheckMouseDowns__4CWndFR11EventRecords,
10110cb8,GetStyle__4CWndFv,465a90
10110cd6,CheckControls__4CWndF5PointP8GrafPort,
10110d2c,__ct__4CWndFv,4651d0
10110dfe,AdjustClientRect__4CWndFR7CVSRect,
10110e74,Create__4CWndFRC7CVSRectP6CPVWndPc,465200
101111fe,__pl__FRC8CVSPointRC8CVSPoint,
1011126e,__dt__4CWndFv,465570
101112b8,MoveAbsolute__4CWndFRC8CVSPoint,464f10
10111384,Move__4CWndFRC8CVSPoint,464fa0
10111462,Destroy__4CWndFv,4655a0
10111552,ReSetMenu__4CWndFv,465660
10111570,SetMenu__4CWndFRiPP11tagMenuList,4656f0
1011162c,SelectMenu__4CWndFl,465750
