id,start,end,function_count,code_bytes
text-388,0x004781E0,0x004787F0,3,1535
text-389,0x004787F0,0x00478FB0,3,1626
text-390,0x00478FB0,0x00479480,7,1123
text-391,0x00479480,0x00479900,16,1013
text-392,0x00479900,0x00479E20,6,1269
text-393,0x00479E20,0x0047A420,6,1489
text-394,0x0047A420,0x0047A910,5,1210
text-395,0x0047A910,0x0047AD70,6,1072
text-396,0x0047AD70,0x0047B2A0,6,1280
text-397,0x0047B2A0,0x0047B7D0,7,1293
text-398,0x0047B7D0,0x0047BA40,16,492
text-399,0x0047BA40,0x0047BBD0,16,321
text-400,0x0047BBD0,0x0047BD10,16,254
text-401,0x0047BD10,0x0047BEB0,16,305
text-402,0x0047BEB0,0x0047C010,16,252
text-403,0x0047C010,0x0047C820,10,1986
text-404,0x0047C820,0x0047CDD0,10,1367
text-405,0x0047CDD0,0x0047D120,16,684
text-406,0x0047D120,0x0047D6E0,11,1215
text-407,0x0047D6E0,0x0047DC00,11,1099
text-408,0x0047DC00,0x0047E350,8,1810
text-409,0x0047E350,0x0047E5E0,16,486
text-410,0x0047E5E0,0x0047E860,16,441
text-411,0x0047E860,0x0047EE70,8,1430
text-412,0x0047EE70,0x0047F390,5,1293
text-413,0x0047F390,0x0047F890,16,1154
text-414,0x0047F890,0x0047FA00,16,182
text-415,0x0047FA00,0x0047FAAE,10,68
