code_file,name_length_offset,name_offset,symbol_flags,mangled_name
CODE_01_Visos (Mac Specific).bin,0x00003237,0x00003238,0x00,GetEffectVolume__12CMacSoundDevFv
CODE_01_Visos (Mac Specific).bin,0x0000326D,0x0000326E,0x00,GetNumEffectsChannels__12CMacSoundDevFv
CODE_01_Visos (Mac Specific).bin,0x000032A3,0x000032A4,0x00,GetNumMusicChannels__12CMacSoundDevFv
CODE_01_Visos (Mac Specific).bin,0x000032E7,0x000032E8,0x00,SetEffectVolume__12CMacSoundDevFUc
CODE_01_Visos (Mac Specific).bin,0x00003315,0x00003316,0x00,MusicPlayNote__12CMacSoundDevFUcUcUc
CODE_01_Visos (Mac Specific).bin,0x00003345,0x00003346,0x00,MusicSetNoteVolume__12CMacSoundDevFUcUcUc
CODE_01_Visos (Mac Specific).bin,0x0000337B,0x0000337C,0x00,MusicStopNote__12CMacSoundDevFUcUcUc
CODE_01_Visos (Mac Specific).bin,0x000033AF,0x000033B0,0x00,MusicSetChannelVolume__12CMacSoundDevFUcUc
CODE_01_Visos (Mac Specific).bin,0x000033E5,0x000033E6,0x00,MusicSetChannelPatch__12CMacSoundDevFUcUl
CODE_01_Visos (Mac Specific).bin,0x0000341B,0x0000341C,0x00,MusicSetPitchWheel__12CMacSoundDevFUcUs
CODE_01_Visos (Mac Specific).bin,0x0000344F,0x00003450,0x00,MusicMiscControlMessage__12CMacSoundDevFUcUcUc
CODE_01_Visos (Mac Specific).bin,0x000034AF,0x000034B0,0x00,EffectPlay__12CMacSoundDevFUlUcUc
CODE_01_Visos (Mac Specific).bin,0x000036E7,0x000036E8,0x00,EffectPlay__12CMacSoundDevFUlUsUc
CODE_01_Visos (Mac Specific).bin,0x0000377E,0x0000377F,0x80,EffectStop__12CMacSoundDevFUcUc
CODE_01_Visos (Mac Specific).bin,0x0000389F,0x000038A0,0x00,MachineSoundDetect__FPP16CBaseSoundDeviceUcUcUcPUcPP14CPVMusicDevicei
CODE_01_Visos (Mac Specific).bin,0x00003A2C,0x00003A2D,0x80,InitSound__FUcUciP4CWndUc
CODE_01_Visos (Mac Specific).bin,0x00003A96,0x00003A97,0x80,EndSound__Fv
CODE_01_Visos (Mac Specific).bin,0x00003BD8,0x00003BD9,0x80,_QT_Init__Fv
CODE_01_Visos (Mac Specific).bin,0x00003BF4,0x00003BF5,0x80,_QT_Quit__Fv
CODE_01_Visos (Mac Specific).bin,0x00003C36,0x00003C37,0x80,Initialise__8CAnimWndFv
